red, 3, -20, 175, 105, 
green, 3, -166, -104, 295, 
gray, 4, -225, 153, 58, 
gray, 4, -45, -81, 338, 
red, 2, 250, -202, 324, 
magenta, 2, -235, 177, 66, 
magenta, 2, -142, -22, 128, 
black, 2, 195, -212, 192, 
orange, 4, 192, -36, 19, 
green, 2, 168, 138, 159, 
red, 1, -197, 229, 275, 
black, 2, -34, 59, 329, 
blue, 4, 16, 24, 227, 
green, 1, 136, -95, 253, 
gray, 3, 184, -27, 216, 
black, 1, -30, 140, 116, 
red, 4, -240, 155, 11, 
red, 1, -12, 141, 307, 
red, 2, -148, -28, 354, 
orange, 1, 10, -154, 348, 
red, 3, 32, -186, 124, 
gray, 4, 164, -57, 71, 
magenta, 2, -82, 177, 107, 
black, 2, 198, -29, 287, 
orange, 1, 247, -52, 159, 
magenta, 1, -211, -138, 280, 
magenta, 2, 42, 168, 159, 
gray, 3, 207, -222, 239, 
orange, 1, -3, 10, 327, 
blue, 1, 73, 69, 306, 
green, 3, -103, 10, 283, 
green, 2, 173, -141, 8, 
red, 2, 238, -102, 121, 
black, 2, -238, 81, 276, 
green, 4, 177, 33, 341, 
red, 2, -111, 200, 357, 
blue, 2, 80, 11, 56, 
blue, 4, 139, -96, 112, 
magenta, 1, 92, -102, 62, 
black, 2, 169, 90, 39, 
orange, 2, 195, 106, 227, 
magenta, 1, -67, 219, 242, 
orange, 3, 204, 83, 360, 
black, 3, 141, -151, 275, 
blue, 2, 3, -206, 237, 
gray, 2, -192, -20, 185, 
magenta, 4, 217, 248, 169, 
blue, 1, -124, -109, 30, 
orange, 3, 20, 53, 227, 
black, 2, -12, 229, 245, 
